FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
57,66,07000000000010016008607,100,16,86,7.0,70000000.0,0,279.973343938,3676.52710859,,0,B57100070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,3669.96684604
58,67,07000000000013616008607,136,16,86,7.0,70000000.0,0,269.723581272,3742.48374397,,0,B58136070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1565.38749703
59,68,07000000000013516008607,135,16,86,7.0,70000000.0,0,304.046762277,5235.58176638,,0,B59135070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,2200.25097725
60,69,07000000000010116008607,101,16,86,7.0,70000000.0,0,349.567275821,4632.92654751,,0,B60101070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,4624.65764599
61,70,07000000099998516008607,999985,16,86,7.0,70000000.0,0,107.137733301,691.167935832,,0,B61999985070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,689.936257198
62,71,07000000099998416008607,999984,16,86,7.0,70000000.0,0,105.35067297,684.893037172,,0,B62999984070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,683.672318691
63,72,07000000099998316008607,999983,16,86,7.0,70000000.0,0,358.979318228,5444.60750311,,0,B63999983070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,4159.12619613
64,73,07000000099998216008607,999982,16,86,7.0,70000000.0,0,127.98028562,1027.55944144,,0,B64999982070000000,804,19602.7412135,Residential Zone,Residential Zone,Residential,ZoneNo 2,698.721955437
65,74,07000000000012416008607,191,16,86,7.0,70000000.0,0,190.69944375,2037.42517804,,0,B65191070000000,804,19602.7412135,Residential Zone,Residential Zone,Residential,ZoneNo 2,1698.22432173
66,75,07000000000021616008607,216,16,86,7.0,70000000.0,0,160.879392469,1013.1112805,,0,B66216070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1011.30423493
67,259,0700000000031721608607,3172,16,86,7.0,70000000.0,0,51.4007779246,64.7227835113,Splited From 3070,0,B673172070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,64.6075992484
68,262,07000000099996716008607,3023,16,86,7.0,70000000.0,0,77.7266591417,173.473932918,,0,B683023070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,173.165939591
69,264,07000000099996916008607,192,16,86,7.0,70000000.0,0,56.1896360716,194.886363974,,0,B69192070000000,1259,66623.5609448,Residential Zone,Residential Zone,Residential,ZoneNo 2,194.539738668
6,9,07000000099999716008607,999997,16,86,7.0,70000000.0,0,105.807056743,467.460923535,,0,B6999997070000000,557,37531.1377558,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,161.121841712
70,76,07000000000012116008607,3093,16,86,7.0,70000000.0,0,118.08034824,848.903222292,,0,B703093070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,847.3904144
71,77,07000000000010316008607,3076,16,86,7.0,70000000.0,0,130.855189388,1063.82447554,,0,B713076070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1061.92783963
7,10,07000000000002016008607,20,16,86,7.0,70000000.0,0,77.5695802052,217.073718881,,0,B720070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,2.31294396001
72,78,07000000000021716008607,217,16,86,7.0,70000000.0,0,121.596165346,721.391623189,,0,B72217070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,718.029949523
73,79,07000000000302016008607,3020,16,86,7.0,70000000.0,0,105.661837232,652.200536582,,0,B733020070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,651.036910319
74,80,07000000000017516008607,175,16,86,7.0,70000000.0,0,171.210587794,1766.01230153,,0,B74175070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1664.51778843
75,81,07000000000022016008607,220,16,86,7.0,70000000.0,0,105.972569197,690.151631761,,0,B75220070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,688.91868521
