FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2041,725.133895765,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,725.133895772
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2042,27279.2369832,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,27279.2369834
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2043,0.150029275684,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,0.150029275616
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2044,3360.79276982,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3360.79276989
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2045,1703.2522929,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1703.25229289
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2046,7864.15811445,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,7864.15811445
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2047,4.96427952354,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4.96427952354
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2048,1891.54679298,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1891.546793
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2049,1648.68493943,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1648.68493945
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2050,1543.18258113,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1543.18258114
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2051,2376.91085103,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2376.91085102
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2052,7.24037919852,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,7.24037919852
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2053,4435.98454398,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4435.98454402
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2054,4374.8365574,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4374.83655739
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2055,1652.43758433,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1652.43758428
